region,siteID,date,bandNumber,spp,colorCombo
Pittsburgh,MADJDAVPA1,2018-03-04,2661-08096,SOSP,"OB,X"
Pittsburgh,AZARCARPA1,2018-03-09,2771-42114,SOSP,"WG,BX"
Pittsburgh,AZARCARPA1,2018-03-04,2771-42116,SOSP,"KB,KX"
Pittsburgh,AZARCARPA1,2018-03-05,2771-42116,SOSP,"KB,KX"
Pittsburgh,AZARCARPA1,2018-03-06,2771-42116,SOSP,"KB,KX"
Pittsburgh,AZARCARPA1,2018-03-08,2771-42116,SOSP,"KB,KX"
DC,BARBJERMD1,2018-03-06,2651-56243,NOCA,"-,XP"
DC,CAMPGLOMD1,2018-03-11,2651-51860,NOCA,"BB,X"
Raleigh,BEARKARNC1,2018-03-05,851-39846,NOCA,"GY,X"
Pittsburgh,DEMAPATPA1,2018-03-05,1352-46401,AMRO,"X,KY"
Pittsburgh,DEMAPATPA1,2018-03-05,1352-46401,AMRO,"X,KY"
DC,TANGLAUDC1,2018-03-11,2651-56781,NOCA,"X,OM"
DC,TANGLAUDC1,2018-03-10,2651-56781,NOCA,"X,OM"
Pittsburgh,RIGAMARPA1,2018-03-08,2711-77843,SOSP,"RO,OX"
Raleigh,WILLAMBNC1,2018-03-11,2790-45051,CACH,"XK,Y"
DC,TATEJUAMD1,2018-03-10,2710-53791,CACH,"X,KY"
Pittsburgh,FERKHOLPA1,2018-03-11,2750-45399,CACH,"KR,WX"
Pittsburgh,FERKHOLPA1,2018-03-11,2651-56428,NOCA,"XW,G"
Pittsburgh,FERKHOLPA1,2018-03-11,2750-63913,CACH,"YB,X"
Pittsburgh,FERKHOLPA1,2018-03-11,2641-96614,NOCA,"Y,XG"
Gainesville,ROBIRONFL1,2018-03-11,2331-09151,NOCA,"MM,X"
Gainesville,ROBIRONFL1,2018-03-11,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-11,2701-39136,NOCA,"B,XB"
Gainesville,ROBIRONFL1,2018-03-11,2641-96747,NOCA,"X,-"
Pittsburgh,BERASHEPA1,2018-03-11,2771-42102,SOSP,"GW,RX"
Raleigh,HARABARNC1,2018-03-08,2701-55875,NOCA,"K,YX"
Raleigh,HARABARNC1,2018-03-05,2701-55875,NOCA,"K,YX"
DC,GOCHJOAMD1,2018-03-11,2710-54263,CACH,"Y,XR"
DC,GOCHJOAMD1,2018-03-11,2791-03511,CARW,"GB,YX"
Springfield,BENNBILMA1,2018-03-05,2651-65684,NOCA,"K,GX"
Pittsburgh,FOYLDONPA1,2018-03-05,1352-46039,AMRO,"X,YW"
Pittsburgh,KILEHAYPA1,2018-03-11,2711-77414,SOSP,"B,YX"
Springfield,ATHEJIMMA2,2018-03-11,2780-93407,BCCH,"KW,WX"
Springfield,ATHEJIMMA2,2018-03-05,2780-93407,BCCH,"KW,WX"
DC,GOCHJOAMD1,2018-03-09,2840-12414,CACH,"RK,OX"
DC,GOCHJOAMD1,2018-03-08,2840-12414,CACH,"RK,OX"
DC,GOCHJOAMD1,2018-03-08,2840-12414,CACH,"RK,OX"
DC,TANGLAUDC1,2018-03-09,2651-56781,NOCA,"X,OM"
DC,TANGLAUDC1,2018-03-08,2651-56781,NOCA,"X,OM"
Gainesville,CASEANNFL1,2018-03-04,2711-54383,CARW,"X,YB"
Gainesville,CASEANNFL1,2018-03-04,2711-54388,TUTI,"XB,G"
Gainesville,CASEANNFL1,2018-03-04,1352-46103,NOCA,"RW,X"
Gainesville,CASEANNFL1,2018-03-04,2641-96738,NOCA,"GX,K"
Gainesville,CHURCARFL1,2018-03-06,2711-54355,TUTI,"X,RO"
Gainesville,CHURCARFL1,2018-03-11,2701-39139,NOCA,"XG,Y"
Gainesville,ROBIRONFL1,2018-03-04,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-05,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-08,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-09,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-08,2590-82054,CACH,"KR,X"
Gainesville,ROBIRONFL1,2018-03-09,2590-82054,CACH,"KR,X"
DC,BEALTOMMD1,2018-03-05,2421-11549,NOCA,"XK,R"
DC,BEALTOMMD1,2018-03-11,2651-47525,NOCA,"XB,O"
DC,STEWBETMD1,2018-03-05,2750-41362,CACH,"YX,O"
